Used,Type,Name,PV,Tag,Desc
,Bool,GV7_Both_Switch,BL:$(xx)$(yy):GV7_BOTH_SWITCH,GV7.Fault.Both_Switch,1071 GV7 Both Switch
,Bool,GV7_Opened_Switch,BL:$(xx)$(yy):GV7_OPENED_SWITCH,GV7.Fault.Opened_Switch,1072 GV7 Opened Switch
,Bool,GV7_Fail_to_Open,BL:$(xx)$(yy):GV7_FAIL_TO_OPEN,GV7.Fault.Fail_to_Open,1073 GV7 Fail to Open
,Bool,GV7_Fully_Open,BL:$(xx)$(yy):GV7_FULLY_OPEN,GV7.Fault.Fully_Open,1074 GV7 Fail To Fully Open
,Bool,GV7_Closed_Switch,BL:$(xx)$(yy):GV7_CLOSED_SWITCH,GV7.Fault.Closed_Switch,1075 GV7 Closed Switch
,Bool,GV7_Fail_to_Close,BL:$(xx)$(yy):GV7_FAIL_TO_CLOSE,GV7.Fault.Fail_to_Close,1076 GV7 Fail to Close
,Bool,GV7_Fully_Close,BL:$(xx)$(yy):GV7_FULLY_CLOSE,GV7.Fault.Fully_Close,1077 GV7 Fail To Fully Close
,Bool,GV7_Beam_Exposure,BL:$(xx)$(yy):GV7_BEAM_EXPOSURE,GV7.Fault.Beam_Exposure,1078 GV7 Beam Exposure
,Bool,GV7_No_Switch,BL:$(xx)$(yy):GV7_NO_SWITCH,GV7.Fault.No_Switch,1079 GV7 No Switch
,Bool,GV8_Faulted,BL:$(xx)$(yy):GV8_FAULTED,GV8.Faulted,GV8_Faulted
,Bool,GV8_Both_Switch,BL:$(xx)$(yy):GV8_BOTH_SWITCH,GV8.Fault.Both_Switch,1081 GV8 Both Switch
,Bool,GV8_Opened_Switch,BL:$(xx)$(yy):GV8_OPENED_SWITCH,GV8.Fault.Opened_Switch,1082 GV8 Opened Switch
,Bool,GV8_Fail_to_Open,BL:$(xx)$(yy):GV8_FAIL_TO_OPEN,GV8.Fault.Fail_to_Open,1083 GV8 Fail to Open
,Bool,GV8_Fully_Open,BL:$(xx)$(yy):GV8_FULLY_OPEN,GV8.Fault.Fully_Open,1084 GV8 Fail To Fully Open
,Bool,GV8_Closed_Switch,BL:$(xx)$(yy):GV8_CLOSED_SWITCH,GV8.Fault.Closed_Switch,1085 GV8 Closed Switch
,Bool,GV8_Fail_to_Close,BL:$(xx)$(yy):GV8_FAIL_TO_CLOSE,GV8.Fault.Fail_to_Close,1086 GV8 Fail to Close
,Bool,GV8_Fully_Close,BL:$(xx)$(yy):GV8_FULLY_CLOSE,GV8.Fault.Fully_Close,1087 GV8 Fail To Fully Close
,Bool,GV8_Beam_Exposure,BL:$(xx)$(yy):GV8_BEAM_EXPOSURE,GV8.Fault.Beam_Exposure,1088 GV8 Beam Exposure
,Bool,GV8_No_Switch,BL:$(xx)$(yy):GV8_NO_SWITCH,GV8.Fault.No_Switch,1089 GV8 No Switch
,Bool,GV9_Faulted,BL:$(xx)$(yy):GV9_FAULTED,GV9.Faulted,GV9_Faulted
,Bool,GV9_Both_Switch,BL:$(xx)$(yy):GV9_BOTH_SWITCH,GV9.Fault.Both_Switch,1091 GV9 Both Switch
,Bool,GV9_Opened_Switch,BL:$(xx)$(yy):GV9_OPENED_SWITCH,GV9.Fault.Opened_Switch,1092 GV9 Opened Switch
,Bool,GV9_Fail_to_Open,BL:$(xx)$(yy):GV9_FAIL_TO_OPEN,GV9.Fault.Fail_to_Open,1093 GV9 Fail to Open
,Bool,GV9_Fully_Open,BL:$(xx)$(yy):GV9_FULLY_OPEN,GV9.Fault.Fully_Open,1094 GV9 Fail To Fully Open
,Bool,GV9_Closed_Switch,BL:$(xx)$(yy):GV9_CLOSED_SWITCH,GV9.Fault.Closed_Switch,1095 GV9 Closed Switch
,Bool,GV9_Fail_to_Close,BL:$(xx)$(yy):GV9_FAIL_TO_CLOSE,GV9.Fault.Fail_to_Close,1096 GV9 Fail to Close
,Bool,GV9_Fully_Close,BL:$(xx)$(yy):GV9_FULLY_CLOSE,GV9.Fault.Fully_Close,1097 GV9 Fail To Fully Close
,Bool,GV9_Beam_Exposure,BL:$(xx)$(yy):GV9_BEAM_EXPOSURE,GV9.Fault.Beam_Exposure,1098 GV9 Beam Exposure
,Bool,GV9_No_Switch,BL:$(xx)$(yy):GV9_NO_SWITCH,GV9.Fault.No_Switch,1099 GV9 No Switch
,Bool,GV10_Faulted,BL:$(xx)$(yy):GV10_FAULTED,GV10.Faulted,GV10_Faulted
,Bool,GV10_Both_Switch,BL:$(xx)$(yy):GV10_BOTH_SWITCH,GV10.Fault.Both_Switch,1101 GV10 Both Switch
,Bool,GV10_Opened_Switch,BL:$(xx)$(yy):GV10_OPENED_SWITCH,GV10.Fault.Opened_Switch,1102 GV10 Opened Switch
,Bool,GV10_Fail_to_Open,BL:$(xx)$(yy):GV10_FAIL_TO_OPEN,GV10.Fault.Fail_to_Open,1103 GV10 Fail to Open
,Bool,GV10_Fully_Open,BL:$(xx)$(yy):GV10_FULLY_OPEN,GV10.Fault.Fully_Open,1104 GV10 Fail To Fully Open
,Bool,GV10_Closed_Switch,BL:$(xx)$(yy):GV10_CLOSED_SWITCH,GV10.Fault.Closed_Switch,1105 GV10 Closed Switch
,Bool,GV10_Fail_to_Close,BL:$(xx)$(yy):GV10_FAIL_TO_CLOSE,GV10.Fault.Fail_to_Close,1106 GV10 Fail to Close
,Bool,GV10_Fully_Close,BL:$(xx)$(yy):GV10_FULLY_CLOSE,GV10.Fault.Fully_Close,1107 GV10 Fail To Fully Close
,Bool,GV10_Beam_Exposure,BL:$(xx)$(yy):GV10_BEAM_EXPOSURE,GV10.Fault.Beam_Exposure,1108 GV10 Beam Exposure
,Bool,GV10_No_Switch,BL:$(xx)$(yy):GV10_NO_SWITCH,GV10.Fault.No_Switch,1109 GV10 No Switch
,Bool,GV11_Faulted,BL:$(xx)$(yy):GV11_FAULTED,GV11.Faulted,GV11_Faulted
,Bool,GV11_Both_Switch,BL:$(xx)$(yy):GV11_BOTH_SWITCH,GV11.Fault.Both_Switch,1111 GV11 Both Switch
,Bool,GV11_Opened_Switch,BL:$(xx)$(yy):GV11_OPENED_SWITCH,GV11.Fault.Opened_Switch,1112 GV11 Opened Switch
,Bool,GV11_Fail_to_Open,BL:$(xx)$(yy):GV11_FAIL_TO_OPEN,GV11.Fault.Fail_to_Open,1113 GV11 Fail to Open
,Bool,GV11_Fully_Open,BL:$(xx)$(yy):GV11_FULLY_OPEN,GV11.Fault.Fully_Open,1114 GV11 Fail To Fully Open
,Bool,GV11_Closed_Switch,BL:$(xx)$(yy):GV11_CLOSED_SWITCH,GV11.Fault.Closed_Switch,1115 GV11 Closed Switch
,Bool,GV11_Fail_to_Close,BL:$(xx)$(yy):GV11_FAIL_TO_CLOSE,GV11.Fault.Fail_to_Close,1116 GV11 Fail to Close
,Bool,GV11_Fully_Close,BL:$(xx)$(yy):GV11_FULLY_CLOSE,GV11.Fault.Fully_Close,1117 GV11 Fail To Fully Close
,Bool,GV11_Beam_Exposure,BL:$(xx)$(yy):GV11_BEAM_EXPOSURE,GV11.Fault.Beam_Exposure,1118 GV11 Beam Exposure
,Bool,GV11_No_Switch,BL:$(xx)$(yy):GV11_NO_SWITCH,GV11.Fault.No_Switch,1119 GV11 No Switch
,Bool,GV12_Faulted,BL:$(xx)$(yy):GV12_FAULTED,GV12.Faulted,GV12_Faulted
,Bool,GV12_Both_Switch,BL:$(xx)$(yy):GV12_BOTH_SWITCH,GV12.Fault.Both_Switch,1121 GV12 Both Switch
,Bool,GV12_Opened_Switch,BL:$(xx)$(yy):GV12_OPENED_SWITCH,GV12.Fault.Opened_Switch,1122 GV12 Opened Switch
